# Age[Myr]   Lxuv[erg.s-1]
1.000000000000000000e+00 1.452451616410649328e+30
1.008562166358395462e+00 1.445779159310358429e+30
1.017197643409537555e+00 1.439051690439643075e+30
1.025907058851777798e+00 1.432373413783842153e+30
1.034691045757918815e+00 1.425886247086191935e+30
1.043550242621240409e+00 1.419345416424851751e+30
1.052485293401905109e+00 1.412750527255174964e+30
1.061496847573776714e+00 1.406101259608338366e+30
1.070585560171615880e+00 1.399618702489660617e+30
1.079752091838698913e+00 1.393195204875423947e+30
1.088997108874847131e+00 1.386718623260547047e+30
1.098321283284845240e+00 1.380188515125885642e+30
1.107725292827294261e+00 1.373628227389873079e+30
1.117209821063883890e+00 1.367343920953427849e+30
1.126775557409066097e+00 1.361007687120381583e+30
1.136423197180176148e+00 1.354619242980488797e+30
1.146153441647970173e+00 1.348178107741093672e+30
1.155966998087607278e+00 1.341853602725923061e+30
1.165864579830048431e+00 1.335640625077213565e+30
1.175846906313911866e+00 1.329376395988631921e+30
1.185914703137776138e+00 1.323060461103986233e+30
1.196068702112908611e+00 1.316692429654879012e+30
1.206309641316467118e+00 1.310570080250627344e+30
1.216638265145154829e+00 1.304410659608706597e+30
1.227055324369317413e+00 1.298200485132594270e+30
1.237561576187522494e+00 1.291939007843608618e+30
1.248157784281595406e+00 1.285750972413576851e+30
1.258844718872140556e+00 1.279671396973706773e+30
1.269623156774511319e+00 1.273541538851272668e+30
1.280493881455283312e+00 1.267361101971132800e+30
1.291457683089210828e+00 1.261129620408916771e+30
1.302515358616648466e+00 1.255164404622191518e+30
1.313667711801486782e+00 1.249161783784000826e+30
1.324915553289583547e+00 1.243109576806871130e+30
1.336259700667674633e+00 1.237007507016133609e+30
1.347700978522810900e+00 1.231030487262500823e+30
1.359240218502292707e+00 1.225145939126283297e+30
1.370878259374130881e+00 1.219212773287390299e+30
1.382615947087999952e+00 1.213230728793011581e+30
1.394454134836734971e+00 1.207251930458116053e+30
1.406393683118359439e+00 1.201531022435492703e+30
1.418435459798615295e+00 1.195762956124407147e+30
1.430580340174055110e+00 1.189947393421539332e+30
1.442829207035675187e+00 1.184083853371947351e+30
1.455182950733066471e+00 1.178440692156120787e+30
1.467642469239143654e+00 1.172831989494143356e+30
1.480208668215412304e+00 1.167177087932135255e+30
1.492882461077811751e+00 1.161475628477537609e+30
1.505664769063090658e+00 1.155842613950723477e+30
1.518556521295780781e+00 1.150363669612586161e+30
1.531558654855741386e+00 1.144839614518204308e+30
1.544672114846256550e+00 1.139270197768500456e+30
1.557897854462741538e+00 1.133654956902740630e+30
1.571236835062038928e+00 1.128263265204116516e+30
1.584690026232278726e+00 1.122844336020649077e+30
1.598258405863369536e+00 1.117380824680422674e+30
1.611942960218072152e+00 1.111872374226931476e+30
1.625744684003703755e+00 1.106462984890740709e+30
1.639664580444420539e+00 1.101151120344333446e+30
1.653703661354150922e+00 1.095795553809129152e+30
1.667862947210152713e+00 1.090395986804988735e+30
1.682143467227169564e+00 1.084980904723327321e+30
1.696546259432256676e+00 1.079763858007315761e+30
1.711072370740225557e+00 1.074503898301295118e+30
1.725722857029757362e+00 1.069200671220284268e+30
1.740498783220131740e+00 1.063853859358172290e+30
1.755401223348643569e+00 1.058657595152410594e+30
1.770431260648685612e+00 1.053492243207203786e+30
1.785589987628463104e+00 1.048284409432592152e+30
1.800878506150419556e+00 1.043033724569927060e+30
1.816297927511338228e+00 1.037844478323291588e+30
1.831849372523099095e+00 1.032788585269733008e+30
1.847533971594160329e+00 1.027691147153200529e+30
1.863352864811736564e+00 1.022551817320501312e+30
1.879307202024647294e+00 1.017385996537287395e+30
1.895398142926912888e+00 1.012431620520579437e+30
1.911626857142043168e+00 1.007436458741084110e+30
1.927994524308069613e+00 1.002400276246776717e+30
1.944502334163270785e+00 9.973226849453966225e+29
1.961151486632660923e+00 9.923910998948813973e+29
1.977943191915224386e+00 9.874858704367686010e+29
1.994878670571857970e+00 9.825402834338745972e+29
2.011959153614109042e+00 9.775540299101615615e+29
2.029185882593645296e+00 9.726457060081166238e+29
2.046560109692519447e+00 9.678462298055470243e+29
2.064083097814162659e+00 9.630073076897571353e+29
2.081756120675195554e+00 9.581286499739766322e+29
2.099580462898024358e+00 9.532554413662604851e+29
2.117557420104193788e+00 9.485504085364330101e+29
2.135688299008576596e+00 9.438066731850260524e+29
2.153974417514366468e+00 9.390239616813774223e+29
2.172417104808852084e+00 9.342019487821679369e+29
2.191017701460049594e+00 9.295273493404186153e+29
2.209777559514134904e+00 9.248333847771721603e+29
2.228698042593744155e+00 9.201008162843915342e+29
2.247780525997061574e+00 9.153292825028327708e+29
2.267026396797805710e+00 9.106785220580290447e+29
2.286437053946062115e+00 9.060714012646806662e+29
2.306013908369947796e+00 9.014264137079434292e+29
2.325758383078180280e+00 8.967432185778499486e+29
2.345671913263528197e+00 8.921527449979054852e+29
2.365755946407106070e+00 8.876648850053295611e+29
2.386011942383607032e+00 8.831400956588509052e+29
2.406441373567409059e+00 8.785780796330459115e+29
2.427045724939618232e+00 8.740579468041027711e+29
2.447826494195983749e+00 8.696796319315685497e+29
2.468785191855773054e+00 8.652653224364549552e+29
2.489923341371585330e+00 8.608147399108031921e+29
2.511242479240060277e+00 8.563591031410701659e+29
2.532744155113582973e+00 8.520796218833172941e+29
2.554429931912913787e+00 8.477650185769148027e+29
2.576301385940816591e+00 8.434149729176443164e+29
2.598360106996607133e+00 8.390292448506910918e+29
2.620607698491724591e+00 8.348112230137693748e+29
2.643045777566302768e+00 8.305725219849374319e+29
2.665675975206679649e+00 8.262989839798701041e+29
2.688499936363971887e+00 8.219903434665848595e+29
2.711519320073655148e+00 8.178148127354359746e+29
2.734735799576129445e+00 8.136685975976484338e+29
2.758151062438353840e+00 8.094883343348390813e+29
2.781766810676535862e+00 8.052737740024655304e+29
2.805584760879811679e+00 8.011430679139161210e+29
2.829606644335043608e+00 7.970718583526581724e+29
2.853834207152655456e+00 7.929671577961208990e+29
2.878269210393575861e+00 7.888287302437474581e+29
2.902913430197213263e+00 7.847374103938917179e+29
2.927768657910576167e+00 7.807454610392235309e+29
2.952836700218502308e+00 7.767207210236652910e+29
2.978119379274948297e+00 7.726629038819096267e+29
3.003618532835462318e+00 7.686242927115957807e+29
3.029336014390752840e+00 7.647220820828799316e+29
3.055273693301444826e+00 7.607878346494628862e+29
3.081433454933920846e+00 7.568212969581070891e+29
3.107817200797383883e+00 7.528414594109319361e+29
3.134426848682093869e+00 7.490072606863621538e+29
3.161264332798730869e+00 7.451415076705852204e+29
3.188331603919009272e+00 7.412439591850021925e+29
3.215630629517493233e+00 7.373143746166093821e+29
3.243163393914573867e+00 7.335415594134620550e+29
3.270931898420722295e+00 7.297489347326174534e+29
3.298938161481982601e+00 7.259251226198180457e+29
3.327184218826650053e+00 7.220698962837931734e+29
