Time step [Myr]	Bolometric XUV Flux [W.m-2]	Mass loss rate (EL) [kg.s-1]
100.0	968.60606062985	299044138.2528164
100.011	968.6084384609501	299044872.3762966
100.021	968.6101940049001	299045414.3769603
100.031	968.6117770027499	299045903.1063283
100.043	968.61359306435	299046463.79100525
100.054	968.6162932982	299047297.45201313
100.065	968.6186830874001	299048035.2673965
100.076	968.6209188063001	299048725.51563984
100.09	968.62350157735	299049522.91158265
100.1	968.6254022257	299050109.7112848
100.112	968.6275326307001	299050767.4452732
100.124	968.62972685645	299051444.8830626
100.138	968.6321142295501	299052181.95250744
100.153	968.6351973698999	299053133.8307648
100.17	968.6379496092002	299053983.54775834
100.188	968.6410802338501	299054950.0861569
100.209	968.6448671756799	299056119.25368756
100.22	968.6470481945801	299056792.6140391
100.231	968.64875718078	299057320.2406215
100.243	968.6515061425799	299058168.9457308
100.256	968.6545491497299	299059108.4334006
100.27	968.65693079983	299059843.73594594
100.284	968.6592382938301	299060556.14378935
100.298	968.66179361233	299061345.06412536
100.314	968.66507806208	299062359.09396166
100.33	968.6684871162801	299063411.5937518
100.347	968.6724906428301	299064647.62891173
100.365	968.6756079080301	299065610.0427592
100.384	968.6791656896298	299066708.4601404
100.403	968.68319829863	299067953.4741171
100.424	968.6872657113101	299069209.23326343
100.446	968.6915917262601	299070544.83239436
100.469	968.69533673946	299071701.05502254
100.493	968.69887234491	299072792.62581486
100.518	968.70388624976	299074340.6017321
100.544	968.7086973510101	299075825.9647562
100.572	968.7140714928601	299077485.15901864
100.601	968.71972392471	299079230.27158844
100.632	968.7250036239601	299080860.3079641
100.664	968.73146771859	299082856.01053786
100.697	968.7382069673401	299084936.66325814
100.733	968.74454909889	299086894.71136576
100.77	968.7527699386899	299089432.78546375
100.809	968.76018688074	299091722.66690683
100.844	968.7661310408901	299093557.84667903
100.876	968.7719964017698	299095368.6982327
100.904	968.77749963687	299097067.7483058
100.934	968.78360668852	299098953.2186453
100.965	968.7891710719199	299100671.1474363
100.998	968.7945175895701	299102321.81309736
101.033	968.80141039502	299104449.8743905
101.069	968.80797448697	299106476.44979656
101.107	968.81577709745	299108885.4011979
101.142	968.8220070246001	299110808.807701
101.173	968.8288557881	299112923.27163243
101.205	968.8341666903	299114562.94150054
101.239	968.84113750955	299116715.0885088
101.275	968.8480000819001	299118833.81573755
101.312	968.8538794275	299120648.9848862
101.352	968.8618947935801	299123123.62172735
101.393	968.8700031433301	299125626.96603024
101.437	968.8784024944301	299128220.1530995
101.476	968.88558481563	299130437.5984998
101.511	968.89223020193	299132489.27244675
101.543	968.8988164711301	299134522.6947815
101.576	968.9049926795599	299136429.51634973
101.611	968.9113101143099	299138379.9396514
101.648	968.9179059356101	299140416.311069
101.686	968.92508575181	299142632.98308414
101.727	968.93276029186	299145002.39445686
101.769	968.9408197037101	299147490.6298391
101.814	968.9493858661901	299150135.3176861
101.861	968.95852082814	299152955.6147452
101.91	968.96916822169	299156242.8547886
101.961	968.9781483843901	299159015.3596543
102.008	968.98685852977	299161704.5002916
102.05	968.99384180172	299163860.491904
102.094	969.0019286413699	299166357.1952519
102.14	969.0111534779201	299169205.2398892
102.188	969.0197303860199	299171853.2453022
102.239	969.0298554773999	299174979.2315514
102.292	969.0404607122	299178253.45564586
102.348	969.0506237962002	299181391.1716074
102.407	969.0592947022	299184068.19761205
102.469	969.0678760459999	299186717.57248795
102.534	969.07679187358	299189470.21474767
102.602	969.08784098048	299192881.47840345
102.674	969.09777121428	299195947.3049867
102.749	969.1093827616801	299199532.214608
102.828	969.12219114391	299203486.630941
102.91	969.13351415346	299206982.4583686
102.997	969.14710094426	299211177.19791394
103.089	969.16085233474	299215422.75540423
103.185	969.1756314087401	299219985.5964066
103.285	969.19000989809	299224424.76226753
103.391	969.20530630012	299229147.3213649
103.502	969.2215020425201	299234147.53974706
103.618	969.2399998439699	299239858.4880045
103.741	969.2593069128001	299245819.2867184
103.867	969.2779035316499	299251560.74352366
103.985	969.2941774383302	299256585.0940796
104.089	969.30958241533	299261341.1742436
104.199	969.3275437763299	299266886.50370246
104.314	969.3447748436599	299272206.3647795
104.435	969.36329034581	299277922.7778909
104.562	969.3810731218899	299283412.97164947
104.696	969.4009213364402	299289540.84185106
104.836	969.4230352634199	299296368.2203962
104.983	969.4460535727701	299303474.8148761
105.136	969.4672780038501	299310027.5734848
105.288	969.4898211707	299316987.4740864
105.434	969.5121135227799	299323869.9389897
105.578	969.5349840279302	299330930.900904
105.715	969.5536824081601	299336703.7751713
105.844	969.5737186144102	299342889.6852904
105.976	969.59291233679	299348815.48980707
106.104	969.6127487098901	299354939.7041197
106.229	969.63198504462	299360878.66462827
106.352	969.6500259433201	299366448.550286
106.447	969.66386199902	299370720.2470281
106.547	969.6791387643	299375436.74354213
106.652	969.6954092849	299380460.0486912
106.763	969.71211707965	299385618.35637295
106.879	969.7296581367799	299391033.92264557
107.001	969.74704542018	299396402.01334035
107.128	969.7660826544101	299402279.5042383
107.263	969.7867027189601	299408645.67278165
107.404	969.80787885549	299415183.5210953
107.544	969.8282228019899	299421464.4418917
107.681	969.84962724087	299428072.7754959
107.808	969.8681979074202	299433806.21987647
107.932	969.8867973284999	299439548.54183257
108.052	969.90546308755	299445311.34474784
108.164	969.9217711686501	299450346.2461979
108.273	969.9381144638301	299455392.019523
108.378	969.9551396658799	299460648.3224541
108.48	969.97012077163	299465273.5380513
108.58	969.98358453886	299469430.2957184
108.671	969.9991156288099	299474225.31156534
108.76	970.0111015166601	299477925.79378307
108.846	970.0244164686902	299482036.6067519
108.929	970.0363992179399	299485736.11996883
109.005	970.0477984097901	299489255.4676604
109.084	970.05941787312	299492842.821219
109.155	970.07041382882	299496237.67515427
109.224	970.0810594419702	299499524.3655231
109.291	970.0912761740701	299502678.6446163
109.356	970.1006765681699	299505580.8902939
109.42	970.1097058577501	299508368.5624254
109.481	970.11880804885	299511178.7419238
109.541	970.1281364291998	299514058.7543214
109.594	970.1365249547	299516648.59913176
109.649	970.14513637173	299519307.25871444
109.699	970.15203713648	299521437.77733475
109.751	970.1603535785299	299524005.367346
109.798	970.1670831413301	299526083.0296591
109.844	970.1737569009802	299528143.4634976
