# Age[Myr]   Lxuv[erg.s-1]
1.000000000000000000e+00 2.628653122190454418e+30
1.008562166358395462e+00 2.614793879326190685e+30
1.017197643409537555e+00 2.601303678093171118e+30
1.025907058851777798e+00 2.587904157217919298e+30
1.034691045757918815e+00 2.574391390374797690e+30
1.043550242621240409e+00 2.560764011854761134e+30
1.052485293401905109e+00 2.547506378213502286e+30
1.061496847573776714e+00 2.534334185371222907e+30
1.070585560171615880e+00 2.521050222932099442e+30
1.079752091838698913e+00 2.507653925226104501e+30
1.088997108874847131e+00 2.494670727042961486e+30
1.098321283284845240e+00 2.481756314167290394e+30
1.107725292827294261e+00 2.468732661903459818e+30
1.117209821063883890e+00 2.455598821487665312e+30
1.126775557409066097e+00 2.442853845656634485e+30
1.136423197180176148e+00 2.430133496351314995e+30
1.146153441647970173e+00 2.417305316921238494e+30
1.155966998087607278e+00 2.404368268405675603e+30
1.165864579830048431e+00 2.391860885918027008e+30
1.175846906313911866e+00 2.379357384098030937e+30
1.185914703137776138e+00 2.366747858916199759e+30
1.196068702112908611e+00 2.354031449306887443e+30
1.206309641316467118e+00 2.341776960342793312e+30
1.216638265145154829e+00 2.329478029578191264e+30
1.227055324369317413e+00 2.317075065520000302e+30
1.237561576187522494e+00 2.304566893741333483e+30
1.248157784281595406e+00 2.292790424666427941e+30
1.258844718872140556e+00 2.280924619033144816e+30
1.269623156774511319e+00 2.268958222355900991e+30
1.280493881455283312e+00 2.256939814745958422e+30
1.291457683089210828e+00 2.245425099023016490e+30
1.302515358616648466e+00 2.233813021223684044e+30
1.313667711801486782e+00 2.222102869178585854e+30
1.324915553289583547e+00 2.210352737275666992e+30
1.336259700667674633e+00 2.199004597179548668e+30
1.347700978522810900e+00 2.187560277784298824e+30
1.359240218502292707e+00 2.176019097112107521e+30
1.370878259374130881e+00 2.164449718868615786e+30
1.382615947087999952e+00 2.153318583366073463e+30
1.394454134836734971e+00 2.142093161008410550e+30
1.406393683118359439e+00 2.130772712918198600e+30
1.418435459798615295e+00 2.119448191797591788e+30
1.430580340174055110e+00 2.108493390262292643e+30
1.442829207035675187e+00 2.097445619753944841e+30
1.455182950733066471e+00 2.086304174113401088e+30
1.467642469239143654e+00 2.075188477052109262e+30
1.480208668215412304e+00 2.064444216903864575e+30
1.492882461077811751e+00 2.053608953430929179e+30
1.505664769063090658e+00 2.042681934194320180e+30
1.518556521295780781e+00 2.031813108447145658e+30
1.531558654855741386e+00 2.021238837408717977e+30
1.544672114846256550e+00 2.010574936958122606e+30
1.557897854462741538e+00 1.999820443797165710e+30
1.571236835062038928e+00 1.989146372479139728e+30
1.584690026232278726e+00 1.978708555974342710e+30
1.598258405863369536e+00 1.968182166855905675e+30
1.611942960218072152e+00 1.957566441231544482e+30
1.625744684003703755e+00 1.947078028326987579e+30
1.639664580444420539e+00 1.936774363660898519e+30
1.653703661354150922e+00 1.926383017462403455e+30
1.667862947210152713e+00 1.915903329028529612e+30
1.682143467227169564e+00 1.905822049978404614e+30
1.696546259432256676e+00 1.896042218686668518e+30
1.711072370740225557e+00 1.886179588199419060e+30
1.725722857029757362e+00 1.876233429328442886e+30
1.740498783220131740e+00 1.866553043682514444e+30
1.755401223348643569e+00 1.856926937942024964e+30
1.770431260648685612e+00 1.847219153084184273e+30
1.785589987628463104e+00 1.837429122770080229e+30
1.800878506150419556e+00 1.827931654879177970e+30
1.816297927511338228e+00 1.818499072473843698e+30
1.831849372523099095e+00 1.808986529848470553e+30
1.847533971594160329e+00 1.799393431320726850e+30
1.863352864811736564e+00 1.790072041810731213e+30
1.879307202024647294e+00 1.780789857853855191e+30
1.895398142926912888e+00 1.771428848861732437e+30
1.911626857142043168e+00 1.761988269922590917e+30
1.927994524308069613e+00 1.752854503893938154e+30
1.944502334163270785e+00 1.743760882716794830e+30
1.961151486632660923e+00 1.734590051920878734e+30
1.977943191915224386e+00 1.725341417820982812e+30
1.994878670571857970e+00 1.716387671492627691e+30
2.011959153614109042e+00 1.707439383961652647e+30
2.029185882593645296e+00 1.698414983101478415e+30
2.046560109692519447e+00 1.689313795463076081e+30
2.064083097814162659e+00 1.680554817914198462e+30
2.081756120675195554e+00 1.671788207528243143e+30
2.099580462898024358e+00 1.662947002563413831e+30
2.117557420104193788e+00 1.654030665639182679e+30
2.135688299008576596e+00 1.645397208026856085e+30
2.153974417514366468e+00 1.636713319175974830e+30
2.172417104808852084e+00 1.627955323737621293e+30
2.191017701460049594e+00 1.619123474261783208e+30
2.209777559514134904e+00 1.610647213746040417e+30
2.228698042593744155e+00 1.602098498412404193e+30
2.247780525997061574e+00 1.593476603043950816e+30
2.267026396797805710e+00 1.584852762139999251e+30
2.286437053946062115e+00 1.576652686733741356e+30
2.306013908369947796e+00 1.568382693783326098e+30
2.325758383078180280e+00 1.560042110463999751e+30
2.345671913263528197e+00 1.551806628310615678e+30
2.365755946407106070e+00 1.543966483961157366e+30
2.386011942383607032e+00 1.536059467030842436e+30
2.406441373567409059e+00 1.528084997858775530e+30
2.427045724939618232e+00 1.520200744564885223e+30
2.447826494195983749e+00 1.512548458392655068e+30
2.468785191855773054e+00 1.504831022948027552e+30
2.489923341371585330e+00 1.497047893739672981e+30
2.511242479240060277e+00 1.489321475216790261e+30
2.532744155113582973e+00 1.481789362997357829e+30
2.554429931912913787e+00 1.474192886865051843e+30
2.576301385940816591e+00 1.466531418188741591e+30
2.598360106996607133e+00 1.458914525257389900e+30
2.620607698491724591e+00 1.451540025244201472e+30
2.643045777566302768e+00 1.444102450724355459e+30
2.665675975206679649e+00 1.436601272837378748e+30
2.688499936363971887e+00 1.429132879597115623e+30
2.711519320073655148e+00 1.421889333007266697e+30
2.734735799576129445e+00 1.414583571878327014e+30
2.758151062438353840e+00 1.407215057009697768e+30
2.781766810676535862e+00 1.399867641678600155e+30
2.805584760879811679e+00 1.392747069518060013e+30
2.829606644335043608e+00 1.385565320023962166e+30
2.853834207152655456e+00 1.378321789448476947e+30
2.878269210393575861e+00 1.371095006260345243e+30
2.902913430197213263e+00 1.364061354735074606e+30
2.927768657910576167e+00 1.356966796396720158e+30
2.952836700218502308e+00 1.349810859606009925e+30
2.978119379274948297e+00 1.342691884072013275e+30
3.003618532835462318e+00 1.335804451400906362e+30
3.029336014390752840e+00 1.328857302044784847e+30
3.055273693301444826e+00 1.321849933418606862e+30
3.081433454933920846e+00 1.314905453110576271e+30
3.107817200797383883e+00 1.308146005571658090e+30
3.134426848682093869e+00 1.301327623353288711e+30
3.161264332798730869e+00 1.294449770765533320e+30
3.188331603919009272e+00 1.287667944649431615e+30
3.215630629517493233e+00 1.281057763693834060e+30
3.243163393914573867e+00 1.274389815897119916e+30
3.270931898420722295e+00 1.267663616000934623e+30
3.298938161481982601e+00 1.261145036980407692e+30
3.327184218826650053e+00 1.254834142589364924e+30
